id,Nome,Energia (kcal),Proteína (g),Lipídeos (g),Colesterol (mg),Carboidrato (g),Fibra Alimentar (g),Cálcio (mg),Magnésio (mg)
161,Tomate salada,21,0.8,Tr,NA,5.1,2.3,7,10
165,Abacaxi polpa congelada,31,0.5,0.1,NA,7.8,0.3,14,10
167,Açaí polpa com xarope de guaraná e glucose,110,0.7,3.7,NA,21.5,1.7,22,13
168,Açaí polpa congelada,58,0.8,3.9,NA,6.2,2.6,35,17
170,Acerola polpa congelada,22,0.6,Tr,NA,5.5,0.7,8,9
171,"Ameixa calda enlatada ",183,0.4,Tr,NA,46.9,0.5,13,10
173,"Ameixa em calda enlatada drenada ",177,1.0,0.3,NA,47.7,4.5,39,14
176,Banana doce em barra,280,2.2,0.1,NA,75.7,3.8,12,49
185,Cajá polpa congelada,26,0.6,0.2,NA,6.4,1.4,9,7
187,Caju polpa congelada,37,0.5,0.2,NA,9.4,0.8,1,7
188,Caju suco concentrado envasado,45,0.4,0.2,NA,10.7,0.6,1,8
193,Cupuaçu polpa congelada,49,0.8,0.6,NA,11.4,1.6,5,14
195,Figo enlatado em calda,184,0.6,0.2,NA,50.3,2.0,33,7
198,Goiaba doce em pasta,269,0.6,0.0,NA,74.1,3.7,10,6
199,Goiaba doce cascão,286,0.4,0.1,NA,78.7,4.4,15,10
202,Graviola polpa congelada,38,0.6,0.1,NA,9.8,1.2,6,10
209,Laranja baía suco,37,0.7,Tr,NA,8.7,Tr,6,8
211,Laranja da terra suco,41,0.7,0.1,NA,9.6,1.0,13,10
213,Laranja lima suco,39,0.7,0.1,NA,9.2,0.4,8,11
215,Laranja pêra suco,33,0.7,0.1,NA,7.6,Tr,7,8
217,Laranja valência suco,36,0.5,0.1,NA,8.6,0.4,9,10
218,Limão cravo suco,14,0.3,Tr,NA,5.2,Tr,10,9
219,Limão galego suco,22,0.6,0.1,NA,7.3,Tr,5,6
224,Mamão doce em calda drenado,196,0.2,0.1,NA,54.0,1.3,20,6
227,Mamão verde doce em calda drenado,209,0.3,0.1,NA,57.6,1.2,12,5
230,Manga polpa congelada,48,0.4,0.2,NA,12.5,1.1,7,9
233,Maracujá polpa congelada,39,0.8,0.2,NA,9.6,0.5,5,10
234,Maracujá suco concentrado envasado,42,0.8,0.2,NA,9.6,0.4,4,4
245,Pêssego enlatado em calda,63,0.7,Tr,NA,16.9,1.0,4,4
248,Pitanga polpa congelada,19,0.3,0.1,NA,4.8,0.7,8,6
252,Tangerina Poncã suco,36,0.5,Tr,NA,8.8,Tr,4,6
255,Umbu polpa congelada,34,0.5,0.1,NA,8.8,1.3,11,8
258,Uva suco concentrado envasado,58,Tr,Tr,NA,14.7,0.2,9,7
259,Azeite de dendê,884,NA,100.0,NA,NA,NA,,
260,Azeite de oliva extra virgem,884,NA,100.0,NA,NA,NA,,
261,Manteiga com sal,726,0.4,82.4,201,0.1,NA,9,1
262,Manteiga sem sal,758,0.4,86.0,214,0.0,NA,4,1
263,Margarina com óleo hidrogenado com sal (65% de lipídeos),596,Tr,67.4,NA,0.0,NA,6,1
264,Margarina com óleo hidrogenado sem sal (80% de lipídeos),723,Tr,81.7,NA,0.0,NA,3,1
265,Margarina com óleo interesterificado com sal (65%de lipídeos),594,Tr,67.2,NA,0.0,NA,5,1
266,Margarina com óleo interesterificado sem sal (65% de lipídeos),593,Tr,67.1,NA,0.0,NA,5,1
267,Óleo de babaçu,884,NA,100.0,NA,NA,NA,,
268,Óleo de canola,884,NA,100.0,NA,NA,NA,,
269,Óleo de girassol,884,NA,100.0,NA,NA,NA,,
270,Óleo de milho,884,NA,100.0,NA,NA,NA,,
271,Óleo de pequi,884,NA,100.0,NA,NA,NA,,
272,Óleo de soja,884,NA,100.0,NA,NA,NA,,
273,Abadejo filé congelado assado,112,23.5,1.2,103,0.0,NA,23,20
274,Abadejo filé congelado.cozido,91,19.3,0.9,87,0.0,NA,17,16
276,Abadejo filé congelado grelhado,130,27.6,1.3,136,0.0,NA,20,22
277,Atum conserva em óleo,166,26.2,6.0,53,0.0,NA,7,29
280,Bacalhau salgado refogado,140,24.0,3.6,112,1.2,*,59,15
281,Cação posta com farinha de trigo frita,208,25.0,10.0,75,3.1,0.5,30,26
282,Cação posta cozida,116,25.6,0.7,83,0.0,NA,10,21
284,Camarão Rio Grande grande cozido,90,19.0,1.0,241,0.0,NA,90,19
286,Camarão Sete Barbas sem cabeça com casca frito,231,18.4,15.6,283,2.9,NA,960,74
287,Caranguejo cozido,83,18.5,0.4,85,0.0,NA,357,52
289,Corimbatá assado,261,19.9,19.6,80,0.0,NA,22,24
290,Corimbatá cozido,239,20.1,16.9,75,0.0,NA,65,23
293,Corvina grande assada,147,26.8,3.6,117,0.0,NA,60,24
294,Corvina grande cozida,100,23.4,2.6,123,0.0,NA,69,22
295,Dourada de água doce fresca,131,18.8,5.6,52,0.0,NA,12,26
297,Lambari congelado frito,327,28.4,22.8,246,0.0,NA,1881,66
299,Manjuba com farinha de trigo frita,344,23.5,22.6,282,10.2,0.4,763,47
300,Manjuba frita,349,30.1,24.5,270,0.0,NA,575,32
301,Merluza filé assado,122,26.6,0.9,91,0.0,NA,36,20
303,Merluza filé frito,192,26.9,8.5,109,0.0,NA,36,38
305,Pescada branca frita,223,27.4,11.8,165,0.0,NA,378,30
306,Pescada filé com farinha de trigo frito,283,21.4,19.1,73,5.0,Tr,26,28
308,Pescada filé frito,154,28.6,3.6,81,0.0,NA,10,21
309,Pescada filé molho escabeche,142,11.8,8.0,43,5.0,0.8,20,18
311,Pintado assado,192,36.5,4.0,126,0.0,NA,114,42
313,Pintado grelhado,152,30.8,2.3,99,0.0,NA,69,27
315,Salmão filé com pele fresco  grelhado,229,23.9,14.0,85,0.0,NA,29,28
317,Salmão sem pele fresco grelhado,243,26.1,14.5,73,0.0,NA,15,38
318,Sardinha assada,164,32.2,3.0,109,0.0,NA,438,51
319,Sardinha conserva em óleo,285,15.9,24.0,73,0.0,NA,550,35
320,Sardinha frita,257,33.4,12.7,103,0.0,NA,482,39
323,Apresuntado,129,13.5,6.7,38,2.9,NA,23,15
324,Caldo de carne tablete,241,7.8,16.6,Tr,15.1,0.6,129,22
325,Caldo de galinha tablete,251,6.3,20.4,2,10.6,11.8,16,13
326,Carne bovina acém moído cozido,212,26.7,10.9,103,0.0,NA,4,17
328,Carne bovina acém sem gordura cozido,215,27.3,10.9,107,0.0,NA,7,14
331,Carne bovina almôndegas fritas,272,18.2,15.8,36,14.3,*,27,48
332,Carne bovina bucho cozido,133,21.6,4.5,245,0.0,NA,13,7
335,Carne bovina capa de contra-filé com gordura grelhada,312,30.7,20.0,120,0.0,NA,7,18
337,Carne bovina capa de contra-filé sem gordura grelhada,239,35.1,10.0,80,0.0,NA,9,26
338,Carne bovina charque cozido,263,36.4,11.9,113,0.0,NA,15,13
340,Carne bovina contra-filé à milanesa,352,20.6,24.0,99,12.2,0.4,15,27
342,Carne bovina contra-filé de costela grelhado,275,29.9,16.3,98,0.0,NA,4,24
344,Carne bovina contra-filé com gordura grelhado,278,32.4,15.5,144,0.0,NA,4,19
346,Carne bovina contra-filé sem gordura grelhado,194,35.9,4.5,102,0.0,NA,5,21
347,Carne bovina costela assada,373,28.8,27.7,95,0.0,NA,28,20
349,Carne bovina coxão duro sem gordura cozido,217,31.9,8.9,71,0.0,NA,4,14
351,Carne bovina coxão mole sem gordura cozido,219,32.4,8.9,84,0.0,NA,4,13
353,Carne bovina cupim assado,330,28.6,23.0,91,0.0,NA,8,18
356,Carne bovina fígado grelhado,225,29.9,9.0,601,4.2,NA,6,10
358,Carne bovina filé mingnon sem gordura grelhado,220,32.8,8.8,103,0.0,NA,4,28
359,Carne bovina flanco sem gordura cozido,196,29.4,7.8,62,0.0,NA,4,14
361,Carne bovina fraldinha com gordura cozida,338,24.2,26.0,65,0.0,NA,3,14
363,Carne bovina lagarto cozido,222,32.9,9.1,56,0.0,NA,4,13
365,Carne bovina língua cozida,315,21.4,24.8,105,0.0,NA,6,12
368,Carne bovina maminha grelhada,153,30.7,2.4,88,0.0,NA,4,21
370,Carne bovina miolo de alcatra sem gordura grelhado,241,31.9,11.6,92,0.0,NA,5,26
371,Carne bovina músculo sem gordura cozido,194,31.2,6.7,56,0.0,NA,5,13
374,Carne bovina paleta sem gordura cozida,194,29.7,7.4,56,0.0,NA,6,18
377,Carne bovina patinho sem gordura grelhado,219,35.9,7.3,126,0.0,NA,5,27
378,Carne bovina peito sem gordura cozido,338,22.2,27.0,100,0.0,NA,4,14
381,Carne bovina picanha com gordura grelhada,289,26.4,19.5,92,0.0,NA,4,24
383,Carne bovina picanha sem gordura grelhada,238,31.9,11.3,100,0.0,NA,4,25
384,Carne bovina seca cozida,313,26.9,21.9,100,0.0,NA,13,12
386,Coxinha de frango frita,283,9.6,11.8,15,34.5,5.0,18,17
388,Croquete de carne frito,347,16.9,22.7,38,18.1,,18,30
389,Empada de frango pré-cozida assada,358,6.9,15.6,23,47.5,2.2,16,18
390,Empada de frango pré-cozida,377,7.3,22.9,23,35.5,2.2,14,17
392,Frango caipira inteiro com pele cozido,243,23.9,15.6,110,0.0,NA,17,18
393,Frango caipira inteiro sem pele cozido,196,29.6,7.7,106,0.0,NA,66,23
395,Frango coração grelhado,207,22.4,12.1,280,0.6,NA,8,20
396,Frango coxa com pele assada,215,28.5,10.4,145,0.1,NA,8,14
398,Frango coxa sem pele cozida,167,26.9,5.8,133,0.0,NA,12,11
401,Frango filé à milanesa,221,28.5,7.8,84,7.5,1.1,9,35
403,Frango inteiro sem pele assado,187,28.0,7.5,111,0.0,NA,9,14
404,Frango inteiro sem pele cozido,170,25.0,7.1,99,0.0,NA,8,12
406,Frango peito com pele assado,212,33.4,7.6,109,0.0,NA,8,18
408,Frango peito sem pele cozido,163,31.5,3.2,89,0.0,NA,6,14
410,Frango peito sem pele grelhado,159,32.0,2.5,89,0.0,NA,5,18
411,Frango sobrecoxa com pele assada,260,28.7,15.2,158,0.0,NA,11,15
413,Frango sobrecoxa sem pele assada,233,29.2,12.0,145,0.0,NA,12,17
416,Hambúrguer bovino frito,258,20.0,17.0,49,6.3,*,62,60
417,Hambúrguer bovino grelhado,210,13.2,12.4,59,11.3,*,56,48
419,Lingüiça frango frita,245,18.3,18.5,76,0.0,NA,15,29
420,Lingüiça frango grelhada,244,18.2,18.4,80,0.0,NA,14,21
422,Lingüiça porco frita,280,20.5,21.3,75,0.0,NA,8,18
423,Lingüiça porco grelhada,296,23.2,21.9,82,0.0,NA,8,19
424,Mortadela,269,12.0,21.6,83,5.8,NA,67,19
425,Peru congelado assado,163,26.2,5.7,91,0.0,NA,14,12
428,Porco bisteca frita,311,33.7,18.5,126,0.0,NA,69,29
429,Porco bisteca grelhada,280,28.9,17.4,82,0.0,NA,34,25
